Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Otto Porter,2014,2019,F,6-8,198,"June 3, 1993",Georgetown University
Ozell Jones,1985,1986,C-F,6-11,235,"November 20, 1960","Wichita State University, California State University, Fullerton"
P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech University
P.J. Hairston,2015,2016,G-F,6-6,230,"December 24, 1992",University of North Carolina
P.J. Tucker,2007,2019,F,6-6,245,"May 5, 1985",University of Texas at Austin
PJ Dozier,2018,2019,G,6-6,205,"October 25, 1996",University of South Carolina
Pablo Prigioni,2013,2016,G,6-3,185,"May 17, 1977",
Pace Mannion,1984,1989,G,6-7,190,"September 22, 1960",University of Utah
Pape Sow,2005,2007,F,6-10,250,"November 22, 1981","California State University, Fullerton"
Pape Sy,2011,2011,F,6-7,225,"April 5, 1988",
Pascal Siakam,2017,2019,F,6-9,230,"April 2, 1994",New Mexico State University
Pat Burke,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn University
Pat Connaughton,2016,2019,G,6-4,209,"January 6, 1993",University of Notre Dame
Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State University
Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",University of Notre Dame
Patricio Garino,2017,2017,G-F,6-6,210,"May 17, 1993",George Washington University
Patrick Beverley,2013,2019,G,6-1,185,"July 12, 1988",University of Arkansas
Patrick Christopher,2015,2015,G-F,6-5,209,"June 3, 1988",University of California
Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967","Arkansas State University, University of Mississippi"
Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984","Indiana University, Georgetown University"
Patrick Ewing*,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown University
Patrick McCaw,2017,2019,G,6-7,185,"October 25, 1995","University of Nevada, Las Vegas"
Patrick O'Bryant,2007,2010,C,7-0,260,"June 20, 1986",Bradley University
Patrick Patterson,2011,2019,F,6-9,230,"March 14, 1989",University of Kentucky
Patty Mills,2010,2019,G,6-0,180,"August 11, 1988",Saint Mary's College of California
Pau Gasol,2002,2019,F-C,7-0,250,"July 6, 1980",
Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State University
Paul George,2011,2019,F,6-9,220,"May 2, 1990","California State University, Fresno"
Paul Graham,1992,1994,F-G,6-6,200,"November 28, 1967",Ohio University
Paul Grant,1999,2004,C,7-0,245,"January 6, 1974","Boston College, University of Wisconsin"
Paul McPherson,2001,2001,G,6-4,210,"July 3, 1978",DePaul University
Paul Millsap,2007,2019,F,6-8,246,"February 10, 1985",Louisiana Tech University
Paul Pierce,1999,2017,F-G,6-7,235,"October 13, 1977",University of Kansas
Paul Pressey,1983,1993,G-F,6-5,185,"December 24, 1958",University of Tulsa
Paul Shirley,2003,2005,F-C,6-10,230,"December 23, 1977",Iowa State University
Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane University
Paul Zipser,2017,2018,G-F,6-8,215,"February 18, 1994",
Pavel Podkolzin,2005,2006,C,7-5,260,"January 15, 1985",
Pearl Washington,1987,1989,G,6-2,190,"January 6, 1964",Syracuse University
Peja Stojakovic,1999,2011,F-G,6-9,220,"June 9, 1977",
Pepe Sanchez,2001,2003,G,6-4,195,"May 8, 1977",Temple University
Pero Antic,2014,2015,C-F,6-11,260,"July 29, 1982",
Perry Jones,2013,2015,F,6-11,235,"September 24, 1991",Baylor University
Perry Moss,1986,1987,G,6-2,185,"November 11, 1958",Northeastern University
Perry Young,1987,1987,G,6-5,210,"August 4, 1963",Virginia Polytechnic Institute and State University
Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",University of Louisville
Pete Chilcutt,1992,2000,F-C,6-10,230,"September 14, 1968",University of North Carolina
Pete Myers,1987,1998,G-F,6-6,180,"September 15, 1963",University of Arkansas at Little Rock
Pete Verhoeven,1982,1987,F,6-9,215,"February 15, 1959","California State University, Fresno"
Pete Williams,1986,1987,F,6-7,190,"March 10, 1965",University of Arizona
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University
Peter John Ramos,2005,2005,C,7-3,275,"May 13, 1985",
Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's College of California
Petur Gudmundsson,1982,1989,C,7-2,260,"October 30, 1958",University of Washington
Peyton Siva,2014,2014,G,6-0,185,"October 24, 1990",University of Louisville
Phil Pressey,2014,2016,G,5-11,175,"February 17, 1991",University of Missouri
Phil Zevenbergen,1988,1988,C,6-10,230,"April 13, 1964","Seattle Pacific University, University of Washington"
Pierre Jackson,2017,2017,G,5-10,180,"August 29, 1991",Baylor University
Pooh Richardson,1990,1999,G,6-1,180,"May 14, 1966","University of California, Los Angeles"
Popeye Jones,1994,2004,F,6-8,250,"June 17, 1970",Murray State University
Pops Mensah-Bonsu,2007,2011,F,6-9,240,"September 7, 1983",George Washington University
Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",
Predrag Savovic,2003,2003,G,6-6,225,"May 21, 1976","University of Alabama at Birmingham, University of Hawaii"
Priest Lauderdale,1997,1998,C,7-4,325,"August 31, 1973",Central State University
Primoz Brezec,2002,2010,C,7-2,252,"October 2, 1979",
Quentin Richardson,2001,2013,G,6-6,223,"April 13, 1980",DePaul University
Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor University
Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
Quincy Lewis,2000,2004,F,6-7,215,"June 26, 1977",University of Minnesota
Quincy Miller,2013,2015,F,6-9,210,"November 18, 1992",Baylor University
Quincy Pondexter,2011,2019,G-F,6-7,230,"March 10, 1988",University of Washington
Quinn Cook,2017,2019,G,6-2,179,"March 23, 1993",Duke University
Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",University of San Francisco
Quinton Ross,2005,2011,G,6-6,195,"April 30, 1981",Southern Methodist University
Qyntel Woods,2003,2006,F,6-8,221,"February 16, 1981",Northeast Mississippi Community College
R.J. Hunter,2016,2019,G,6-5,185,"October 24, 1993",Georgia State University
Radisav Curcic,1993,1993,C,6-10,275,"September 26, 1965",
Raef LaFrentz,1999,2008,F-C,6-11,240,"May 29, 1976",University of Kansas
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University
Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno"
Raja Bell,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University"
Rajon Rondo,2007,2019,G,6-1,186,"February 22, 1986",University of Kentucky
Rakeem Christmas,2016,2017,F,6-9,250,"December 1, 1991",Syracuse University
Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954","University of California, Los Angeles"
Ralph Jackson,1985,1985,G,6-2,190,"October 26, 1962","University of California, Los Angeles"
Ralph Lewis,1988,1990,F-G,6-6,200,"March 28, 1963",La Salle University
Ralph Sampson*,1984,1992,C-F,7-4,228,"July 7, 1960",University of Virginia
Ramon Rivas,1989,1989,F-C,6-10,260,"June 3, 1966",Temple University
Ramon Sessions,2008,2018,G,6-3,190,"April 11, 1986","University of Nevada, Reno"
Randell Jackson,1999,2000,F,6-11,215,"January 16, 1976",Florida State University
Randolph Childress,1996,1997,G,6-2,188,"September 21, 1972",Wake Forest University
Randolph Keys,1989,1996,F-G,6-7,195,"April 19, 1966",University of Southern Mississippi
Randolph Morris,2007,2010,C,6-10,266,"January 2, 1986",University of Kentucky
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University
Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",University of Minnesota
Randy Brown,1992,2003,G,6-2,190,"May 22, 1968","University of Houston, New Mexico State University"
Randy Foye,2007,2017,G,6-4,213,"September 24, 1983",Villanova University
Randy Holcomb,2006,2006,F,6-9,225,"August 8, 1979","California State University, Fresno, San Diego State University"
Randy Livingston,1997,2007,G,6-4,209,"April 2, 1975",Louisiana State University
Randy White,1990,1994,F,6-8,240,"November 4, 1967",Louisiana Tech University
Randy Wittman,1984,1992,G-F,6-6,210,"October 28, 1959",Indiana University
Randy Woods,1993,1996,G,5-10,185,"September 23, 1970",La Salle University
Rashad McCants,2006,2009,G,6-4,207,"September 25, 1984",University of North Carolina
Rashad Vaughn,2016,2018,G,6-6,202,"August 16, 1996","University of Nevada, Las Vegas"
Rashard Lewis,1999,2014,F,6-10,215,"August 8, 1979",
Rasheed Wallace,1996,2013,F-C,6-10,225,"September 17, 1974",University of North Carolina
Rasho Nesterovic,1999,2010,C,7-0,248,"May 30, 1976",
Rastko Cvetkovic,1996,1996,C,7-1,260,"June 22, 1970",
Rasual Butler,2003,2016,F-G,6-7,215,"May 23, 1979",La Salle University
Ratko Varda,2002,2002,C,7-1,260,"May 6, 1979",
Raul Lopez,2004,2005,G,6-1,170,"April 15, 1980",
Raul Neto,2016,2019,G,6-1,179,"May 19, 1992",
Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",University of Arizona
Rawle Marshall,2006,2007,G-F,6-9,190,"February 20, 1982","Ball State University, Oakland University"
Ray Allen*,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut
Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State University
Ray McCallum,2014,2016,G,6-3,190,"June 12, 1991",University of Detroit Mercy
Ray Owes,1997,1997,F,6-9,224,"December 11, 1972",University of Arizona
Ray Spalding,2019,2019,F,6-10,215,"March 11, 1997",University of Louisville
Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana University
Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965","Mississippi State University, University of Idaho"
Raymond Felton,2006,2019,G,6-1,205,"June 26, 1984",University of North Carolina
Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",University of Louisville
Reggie Bullock,2014,2019,G-F,6-7,205,"March 16, 1991",University of North Carolina
Reggie Carter,1981,1982,G,6-3,175,"October 10, 1957","University of Hawaii, St. John's University"
Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa
Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973",University of Arizona
Reggie Hanson,1998,1998,F,6-8,195,"October 6, 1968",University of Kentucky
Reggie Hearn,2018,2018,G,6-5,210,"August 14, 1991",Northwestern University
Reggie Jackson,2012,2019,G,6-3,208,"April 16, 1990",Boston College
Reggie Johnson,1981,1984,F-C,6-9,205,"June 25, 1957",University of Tennessee
Reggie Jordan,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State University
Reggie Lewis,1988,1993,G-F,6-7,195,"November 21, 1965",Northeastern University
Reggie Miller*,1988,2005,G-F,6-7,185,"August 24, 1965","University of California, Los Angeles"
Reggie Slater,1995,2003,F,6-7,215,"August 27, 1970",University of Wyoming
Reggie Smith,1993,1994,C,6-10,240,"August 21, 1970",Texas Christian University
Reggie Williams,1988,1997,F-G,6-7,190,"March 5, 1964",Georgetown University
Reggie Williams,2010,2017,F,6-6,205,"September 14, 1986",Virginia Military Institute
Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina
Renaldo Major,2007,2007,F,6-7,200,"May 7, 1982","South Plains College, California State University, Fresno"
Rex Chapman,1989,2000,G,6-4,185,"October 5, 1967",University of Kentucky
Rex Walters,1994,2000,G,6-4,190,"March 12, 1970","Northwestern University, University of Kansas"
Rich King,1992,1995,C,7-2,260,"April 4, 1969",University of Nebraska
Rich Manning,1996,1997,C,6-11,253,"June 23, 1970","Syracuse University, University of Washington"
Rich Yonakor,1982,1982,F,6-9,220,"October 3, 1958",University of North Carolina
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara"
Richard Coffey,1991,1991,F,6-6,212,"September 2, 1965",University of Minnesota
Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State University
Richard Hamilton,2000,2013,G-F,6-6,185,"February 14, 1978",University of Connecticut
Richard Jefferson,2002,2018,F,6-7,233,"June 21, 1980",University of Arizona
Richard Morton,1989,1989,G,6-3,190,"February 2, 1966","California State University, Fullerton"
Richard Petruska,1994,1994,C-F,6-10,260,"January 25, 1969","Loyola Marymount University, University of California, Los Angeles"
Richard Rellford,1988,1988,F,6-6,230,"February 16, 1964",University of Michigan
Richaun Holmes,2016,2019,F-C,6-10,235,"October 15, 1993",Bowling Green State University
Richie Frahm,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga University
Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple University
Rick Calloway,1991,1991,F,6-6,180,"December 12, 1966","Indiana University, University of Kansas"
Rick Carlisle,1985,1990,G,6-5,210,"October 27, 1959","University of Maine, University of Virginia"
Rick Fox,1992,2004,F-G,6-7,230,"July 24, 1969",University of North Carolina
Rick Hughes,2000,2000,F,6-9,235,"August 22, 1973",Thomas More College
Rick Mahorn,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton University
Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State University
Rickey Williams,1983,1983,G,6-1,175,"March 12, 1957","University of New Mexico, California State University, Long Beach"
Rickie Winslow,1988,1988,F,6-8,225,"July 26, 1964",University of Houston
Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964","Oregon State University, San Jose State University"
Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",Louisiana State University
Ricky Davis,1999,2010,G,6-6,195,"September 23, 1979",University of Iowa
Ricky Grace,1994,1994,G,6-1,180,"August 20, 1967","Midland College, University of Oklahoma"
Ricky Ledo,2014,2015,G,6-7,195,"September 10, 1992",
Ricky Pierce,1983,1998,G,6-4,205,"August 19, 1959",Rice University
Ricky Rubio,2012,2019,G,6-4,190,"October 21, 1990",
Ricky Wilson,1988,1988,G,6-3,195,"July 16, 1964",George Mason University
Rik Smits,1989,2000,C,7-4,250,"August 23, 1966",Marist College
Rob Kurz,2009,2009,F,6-9,232,"March 5, 1985",University of Notre Dame
Rob Lock,1989,1989,F,6-9,225,"May 22, 1966",University of Kentucky
Rob Rose,1989,1989,G,6-5,180,"December 27, 1964",George Mason University
Rob Williams,1983,1984,G,6-2,175,"May 5, 1961",University of Houston
Robbie Hummel,2014,2015,F,6-8,215,"March 8, 1989",Purdue University
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign
Robert Churchwell,1996,1996,G-F,6-6,195,"February 20, 1972",Georgetown University
Robert Covington,2014,2019,F,6-9,225,"December 14, 1990",Tennessee State University
Robert Hite,2007,2007,G,6-2,184,"January 12, 1984",University of Miami
Robert Horry,1993,2008,F,6-9,220,"August 25, 1970",University of Alabama
Robert Pack,1992,2004,G,6-2,180,"February 3, 1969",University of Southern California
Robert Sacre,2013,2016,C,7-0,270,"June 6, 1989",Gonzaga University
Robert Swift,2005,2009,C,7-0,245,"December 3, 1985",
Robert Traylor,1999,2005,F,6-8,284,"February 1, 1977",University of Michigan
Robert Werdann,1993,1997,C,6-11,250,"September 12, 1970",St. John's University
Robert Whaley,2006,2006,C,6-10,260,"April 16, 1982","Barton County Community College, University of Cincinnati, Walsh University"
Robert Williams,2019,2019,F,6-10,240,"October 17, 1997",Texas A&M University
Robin Lopez,2009,2019,C,7-0,275,"April 1, 1988",Stanford University
Rock Lee,1982,1982,C,6-10,220,"May 1, 1955","University of California, San Diego State University"
Rod Foster,1984,1986,G,6-1,160,"October 10, 1960","University of California, Los Angeles"
Rod Higgins,1983,1995,F,6-7,200,"January 31, 1960","California State University, Fresno"
Rod Strickland,1989,2005,G,6-3,175,"July 11, 1966",DePaul University
Rodions Kurucs,2019,2019,F,6-9,210,"February 5, 1998",
Rodney Buford,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton University
Rodney Carney,2007,2011,F,6-7,205,"April 15, 1984",University of Memphis
Rodney Hood,2015,2019,G-F,6-8,206,"October 20, 1992","Mississippi State University, Duke University"
Rodney McCray,1984,1993,F-G,6-7,220,"August 29, 1961",University of Louisville
Rodney McGruder,2017,2019,G,6-4,200,"July 29, 1991",Kansas State University
Rodney Monroe,1992,1992,G,6-3,185,"April 16, 1968",North Carolina State University
Rodney Purvis,2018,2018,G,6-4,205,"February 14, 1994",University of Connecticut
Rodney Rogers,1994,2005,F,6-7,235,"June 20, 1971",Wake Forest University
Rodney Stuckey,2008,2017,G,6-5,210,"April 21, 1986",Eastern Washington University
Rodney White,2002,2005,F,6-9,238,"June 28, 1980",University of North Carolina at Charlotte
Rodrick Rhodes,1998,2000,G-F,6-6,225,"September 24, 1973","University of Kentucky, University of Southern California"
Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",
Roger Burkman,1982,1982,G,6-5,175,"May 22, 1958",University of Louisville
Roger Mason,2003,2014,G,6-5,200,"September 10, 1980",University of Virginia
Roger Powell,2007,2007,F,6-6,235,"January 15, 1983",University of Illinois at Urbana-Champaign
Roko Ukic,2009,2010,G,6-5,183,"May 12, 1984",
Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State University
Rolando Ferreira,1989,1989,C,7-1,240,"May 24, 1964",University of Houston
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno"
Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",Wichita State University
Ron Cavenall,1985,1989,C,7-1,230,"April 30, 1959",Texas Southern University
Ron Crevier,1986,1986,C,7-0,235,"April 14, 1958",Boston College
Ron Grandison,1989,1996,F,6-6,215,"July 9, 1964","University of California, Irvine, University of New Orleans"
Ron Harper,1987,2001,G-F,6-6,185,"January 20, 1964",Miami University
Ron Mercer,1998,2005,G-F,6-7,210,"May 18, 1976",University of Kentucky
Ron Moore,1988,1988,C,7-0,260,"January 16, 1962","Salem International University, West Virginia State University"
Ron Rowan,1987,1987,G,6-5,200,"April 23, 1962","University of Notre Dame, St. John's University"
Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",Louisiana State University
Ronald Murray,2003,2010,G,6-4,190,"July 29, 1979","Meridian Community College, Shaw University"
Rondae Hollis-Jefferson,2016,2019,F,6-7,217,"January 3, 1995",University of Arizona
Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas
Ronnie Lester,1981,1986,G,6-2,175,"January 1, 1959",University of Iowa
Ronnie Murphy,1988,1988,F,6-5,225,"July 29, 1964",Jacksonville University
Ronnie Price,2006,2017,G,6-2,190,"June 21, 1983","Nicholls State University, Utah Valley State College"
Ronnie Valentine,1981,1981,F,6-7,210,"November 27, 1957",Old Dominion University
Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University
Rony Seikaly,1989,1999,C,6-11,230,"May 10, 1965",Syracuse University
Rory Sparrow,1981,1992,G,6-2,175,"June 12, 1958",Villanova University
Rory White,1983,1987,F,6-8,210,"August 16, 1959",University of South Alabama
Roshown McLeod,1999,2001,F,6-8,221,"November 17, 1975","St. John's University, Duke University"
Roy Hibbert,2009,2017,C,7-2,270,"December 11, 1986",Georgetown University
Roy Hinson,1984,1991,F-C,6-9,210,"May 2, 1961",Rutgers University
Roy Marble,1990,1994,G-F,6-6,190,"December 13, 1966",University of Iowa
Roy Rogers,1997,2000,F,6-10,235,"August 19, 1973",University of Alabama
Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",University of Michigan
Royal Ivey,2005,2014,G,6-3,200,"December 20, 1981",University of Texas at Austin
Royce O'Neale,2018,2019,F,6-6,226,"June 5, 1993",Baylor University
Royce White,2014,2014,F,6-8,270,"April 10, 1991",Iowa State University
Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown University
Ruben Garces,2001,2001,F,6-9,245,"October 17, 1973",Providence College
Ruben Nembhard,1997,1997,G,6-3,208,"February 20, 1972",Weber State University
Ruben Patterson,1999,2008,F,6-5,224,"July 31, 1975",University of Cincinnati
Ruben Wolkowyski,2001,2003,F,6-10,270,"September 30, 1973",
Rudy Fernandez,2009,2012,G,6-6,185,"April 4, 1985",
Rudy Gay,2007,2019,F,6-8,230,"August 17, 1986",University of Connecticut
Rudy Gobert,2014,2019,C,7-1,245,"June 26, 1992",
Rudy Macklin,1982,1984,F-G,6-7,205,"February 19, 1958",Louisiana State University
Rumeal Robinson,1991,1997,G,6-2,195,"November 13, 1966",University of Michigan
Russ Schoene,1983,1989,F-C,6-10,210,"April 16, 1960",University of Tennessee at Chattanooga
Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",University of Louisville
Russell Cross,1984,1984,C,6-10,215,"September 5, 1961",Purdue University
Russell Westbrook,2009,2019,G,6-3,200,"November 12, 1988","University of California, Los Angeles"
Rusty LaRue,1998,2004,G,6-2,210,"December 10, 1973",Wake Forest University
Ryan Anderson,2009,2019,F,6-10,240,"May 6, 1988",University of California
Ryan Arcidiacono,2018,2019,G,6-3,200,"March 26, 1994",Villanova University
Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa
Ryan Broekhoff,2019,2019,F,6-7,215,"August 23, 1990",Valparaiso University
Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence College
Ryan Hollins,2007,2016,C,7-0,240,"October 10, 1984","University of California, Los Angeles"
Ryan Humphrey,2003,2005,F,6-8,235,"July 24, 1979","University of Oklahoma, University of Notre Dame"
Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke University
Ryan Lorthridge,1995,1995,G,6-4,190,"July 27, 1972",Jackson State University
Ryan Reid,2012,2012,F,6-8,232,"October 30, 1986",Florida State University
Ryan Robertson,2000,2000,G,6-5,190,"October 2, 1976",University of Kansas
Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",University of South Carolina
Salah Mejri,2016,2019,C,7-2,235,"June 15, 1986",
Salim Stoudamire,2006,2008,G,6-1,179,"October 11, 1982",University of Arizona
Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",University of Kentucky
Sam Cassell,1994,2008,G,6-3,185,"November 18, 1969",Florida State University
Sam Dekker,2016,2019,F,6-9,230,"May 6, 1994",University of Wisconsin
Sam Jacobson,1999,2001,G-F,6-4,215,"July 22, 1975",University of Minnesota
Sam Mack,1993,2002,F-G,6-7,220,"May 26, 1970","Iowa State University, Tyler Junior College, University of Houston"
Sam Mitchell,1990,2002,F,6-6,210,"September 2, 1963",Mercer University
Sam Perkins,1985,2001,F-C,6-9,235,"June 14, 1961",University of North Carolina
Sam Vincent,1986,1992,G,6-2,185,"May 18, 1963",Michigan State University
Sam Williams,1982,1985,F,6-8,210,"March 7, 1959",Arizona State University
Sam Worthen,1981,1982,G,6-5,195,"January 17, 1958",Marquette University
Sam Young,2010,2013,F,6-6,220,"June 1, 1985",University of Pittsburgh
Samaki Walker,1997,2006,F,6-9,240,"February 25, 1976",University of Louisville
Samardo Samuels,2011,2013,F,6-9,260,"January 9, 1989",University of Louisville
Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University
Sarunas Jasikevicius,2006,2007,G,6-4,195,"March 5, 1976",University of Maryland
Sarunas Marciulionis*,1990,1997,G,6-5,200,"June 13, 1964",
Sasha Danilovic,1996,1997,G,6-5,200,"February 26, 1970",
Sasha Kaun,2016,2016,C,6-11,260,"May 8, 1985",University of Kansas
Sasha Pavlovic,2004,2013,G-F,6-8,220,"November 15, 1983",
Sasha Vujacic,2005,2017,G,6-7,195,"March 8, 1984",
Scooter McCray,1984,1987,F-G,6-9,215,"February 8, 1960",University of Louisville
Scot Pollard,1998,2008,C,6-11,265,"February 12, 1975",University of Kansas
Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","Texas Christian University, University of California, Irvine"
Scott Burrell,1994,2001,G-F,6-7,218,"January 12, 1971",University of Connecticut
Scott Haffner,1990,1991,G,6-3,180,"February 2, 1966","University of Illinois at Urbana-Champaign, University of Evansville"
Scott Haskin,1994,1994,C-F,6-11,250,"September 19, 1970",Oregon State University
Scott Hastings,1983,1993,F-C,6-10,235,"June 3, 1960",University of Arkansas
Scott Machado,2013,2019,G,6-1,205,"June 8, 1990",Iona College
Scott Meents,1990,1991,F,6-10,225,"January 4, 1964",University of Illinois at Urbana-Champaign
Scott Padgett,2000,2007,F,6-9,240,"April 19, 1976",University of Kentucky
Scott Roth,1988,1990,F,6-8,212,"June 3, 1963",University of Wisconsin
Scott Skiles,1987,1996,G,6-1,180,"March 5, 1964",Michigan State University
Scott Williams,1991,2005,F-C,6-10,230,"March 21, 1968",University of North Carolina
Scottie Pippen*,1988,2004,F-G,6-8,210,"September 25, 1965",University of Central Arkansas
Scotty Hopson,2014,2018,G,6-7,204,"August 8, 1989",University of Tennessee
Sean Colson,2001,2001,G,6-0,175,"July 1, 1975","University of Rhode Island, University of North Carolina at Charlotte"
Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",University of Arizona
Sean Green,1992,1994,G-F,6-5,210,"February 2, 1970","North Carolina State University, Iona College"
Sean Higgins,1991,1998,G-F,6-9,205,"December 30, 1968",University of Michigan
Sean Kilpatrick,2015,2018,G,6-4,210,"January 6, 1990",University of Cincinnati
Sean Lampley,2003,2004,F,6-7,227,"September 3, 1979",University of California
Sean Marks,1999,2011,F-C,6-10,250,"August 23, 1975",University of California
Sean May,2006,2010,F,6-9,266,"April 4, 1984",University of North Carolina
Sean Rooks,1993,2004,C,6-10,250,"September 9, 1969",University of Arizona
Sean Singletary,2009,2009,G,6-0,185,"September 6, 1985",University of Virginia
Sean Williams,2008,2012,C-F,6-10,235,"September 13, 1986",Boston College
Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",
Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia University Institute of Technology
Sedric Toney,1986,1994,G,6-2,178,"April 13, 1962",University of Dayton
Semaj Christon,2017,2017,G,6-3,190,"November 1, 1992",Xavier University
Semi Ojeleye,2018,2019,F,6-7,241,"December 5, 1994",Southern Methodist University
Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",
Serge Ibaka,2010,2019,F-C,6-10,235,"September 18, 1989",
Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",
Sergei Monia,2006,2006,F,6-8,220,"April 15, 1983",
Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",
Sergio Rodriguez,2007,2017,G,6-3,176,"June 12, 1986",
Seth Curry,2014,2019,G,6-2,185,"August 23, 1990","Liberty University, Duke University"
Shabazz Muhammad,2014,2018,F-G,6-6,223,"November 13, 1992","University of California, Los Angeles"
Shabazz Napier,2015,2019,G,6-1,180,"July 14, 1991",University of Connecticut
Shai Gilgeous-Alexander,2019,2019,G,6-6,181,"July 12, 1998",University of Kentucky
Shake Milton,2019,2019,G,6-6,207,"September 26, 1996",Southern Methodist University
Shammond Williams,1999,2007,G,6-1,201,"April 5, 1975",University of North Carolina
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia
Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University
Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",University of Arkansas at Little Rock
Shane Heal,1997,2004,G,6-0,180,"September 6, 1970",
Shane Larkin,2014,2018,G,5-11,175,"October 2, 1992",University of Miami
Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State University
Shaquille Harrison,2018,2019,G,6-4,190,"October 6, 1993",University of Tulsa
Shaquille O'Neal*,1993,2011,C,7-1,325,"March 6, 1972",Louisiana State University
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California
Sharone Wright,1995,1998,F-C,6-11,260,"January 30, 1973",Clemson University
Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson University
Shaun Livingston,2005,2019,G,6-7,192,"September 11, 1985",
